Study,SampleIdentifier,SiteCode,SiteCodeDM,Plot,Replicate,Layer,SamplingYear,Disturbance,DevStage,DevStageDM,StandAge2017,DisturbanceType,Latitude,Longitude,SiteName,SiteNameDM,pH,TOC_gkg,TN_gkg
Chronosequence,B20-20170705-F-2M,B20,4,s4,2,M,2017,Fire,CrownClosure,R-CC,21,,49.894908,-91.513251,Boot20,Boot Burn,5.4,12.77,0.48
Chronosequence,B20-20170705-F-3M,B20,4,s4,3,M,2017,Fire,CrownClosure,R-CC,21,,49.894908,-91.513251,Boot20,Boot Burn,5.4,12.77,0.48
Chronosequence,B20-20170705-F-1F,B20,4,s4,1,O,2017,Fire,CrownClosure,R-CC,21,,49.894908,-91.513251,Boot20,Boot Burn,4.73,500.68,11.18
Chronosequence,B20-20170705-F-2F,B20,4,s4,2,O,2017,Fire,CrownClosure,R-CC,21,,49.894908,-91.513251,Boot20,Boot Burn,4.73,500.68,11.18
Chronosequence,B20-20170705-F-3F,B20,4,s4,3,O,2017,Fire,CrownClosure,R-CC,21,,49.894908,-91.513251,Boot20,Boot Burn,4.73,500.68,11.18
Chronosequence,H20-20170705-F-1L,H20,5,s5,1,B,2017,Fire,CrownClosure,R-CC,21,,49.834921,-91.384118,Hut20,Hut,4.77,501.23,8.85
Chronosequence,H20-20170705-F-2L,H20,5,s5,2,B,2017,Fire,CrownClosure,R-CC,21,,49.834921,-91.384118,Hut20,Hut,4.77,501.23,8.85
Chronosequence,H20-20170705-F-3L,H20,5,s5,3,B,2017,Fire,CrownClosure,R-CC,21,,49.834921,-91.384118,Hut20,Hut,4.77,501.23,8.85
Chronosequence,H20-20170705-F-1M,H20,5,s5,1,M,2017,Fire,CrownClosure,R-CC,21,,49.834921,-91.384118,Hut20,Hut,5.07,15.19,0.54
Chronosequence,H20-20170705-F-2M,H20,5,s5,2,M,2017,Fire,CrownClosure,R-CC,21,,49.834921,-91.384118,Hut20,Hut,5.07,15.19,0.54
Chronosequence,H20-20170705-F-3M,H20,5,s5,3,M,2017,Fire,CrownClosure,R-CC,21,,49.834921,-91.384118,Hut20,Hut,5.07,15.19,0.54
Chronosequence,H20-20170705-F-1F,H20,5,s5,1,O,2017,Fire,CrownClosure,R-CC,21,,49.834921,-91.384118,Hut20,Hut,4.56,499.46,11.17
Chronosequence,H20-20170705-F-2F,H20,5,s5,2,O,2017,Fire,CrownClosure,R-CC,21,,49.834921,-91.384118,Hut20,Hut,4.56,499.46,11.17
Chronosequence,H20-20170705-F-3F,H20,5,s5,3,O,2017,Fire,CrownClosure,R-CC,21,,49.834921,-91.384118,Hut20,Hut,4.56,499.46,11.17
Chronosequence,N21-20170705-F-1L,N21,6,s6,1,B,2017,Fire,CrownClosure,CC,21,,49.593279,-91.867677,NewHook21,New Hook,5.88,517.2,18.72
Chronosequence,N21-20170705-F-2L,N21,6,s6,2,B,2017,Fire,CrownClosure,CC,21,,49.593279,-91.867677,NewHook21,New Hook,5.88,517.2,18.72
Chronosequence,N21-20170705-F-3L,N21,6,s6,3,B,2017,Fire,CrownClosure,CC,21,,49.593279,-91.867677,NewHook21,New Hook,5.88,517.2,18.72
Chronosequence,N21-20170705-F-1M,N21,6,s6,1,M,2017,Fire,CrownClosure,CC,21,,49.593279,-91.867677,NewHook21,New Hook,5.82,8.93,0.48
Chronosequence,N21-20170705-F-2M,N21,6,s6,2,M,2017,Fire,CrownClosure,CC,21,,49.593279,-91.867677,NewHook21,New Hook,5.82,8.93,0.48
Chronosequence,N21-20170705-F-3M,N21,6,s6,3,M,2017,Fire,CrownClosure,CC,21,,49.593279,-91.867677,NewHook21,New Hook,5.82,8.93,0.48
Chronosequence,N21-20170705-F-1F,N21,6,s6,1,O,2017,Fire,CrownClosure,CC,21,,49.593279,-91.867677,NewHook21,New Hook,5.59,456,20.9
Chronosequence,N21-20170705-F-2F,N21,6,s6,2,O,2017,Fire,CrownClosure,CC,21,,49.593279,-91.867677,NewHook21,New Hook,5.59,456,20.9
Chronosequence,N21-20170705-F-3F,N21,6,s6,3,O,2017,Fire,CrownClosure,CC,21,,49.593279,-91.867677,NewHook21,New Hook,5.59,456,20.9
Chronosequence,L38-20170705-F-1L,L38,7,s7,1,B,2017,Fire,Thinning,CC-OST,38,,50.048067,-91.436462,LowerDominion38,Lower Dominion,5.22,482.01,11.02
Chronosequence,L38-20170705-F-2L,L38,7,s7,2,B,2017,Fire,Thinning,CC-OST,38,,50.048067,-91.436462,LowerDominion38,Lower Dominion,5.22,482.01,11.02
Chronosequence,L38-20170705-F-3L,L38,7,s7,3,B,2017,Fire,Thinning,CC-OST,38,,50.048067,-91.436462,LowerDominion38,Lower Dominion,5.22,482.01,11.02
Chronosequence,L38-20170705-F-1M,L38,7,s7,1,M,2017,Fire,Thinning,CC-OST,38,,50.048067,-91.436462,LowerDominion38,Lower Dominion,5.19,9.75,0.47
Chronosequence,L38-20170705-F-2M,L38,7,s7,2,M,2017,Fire,Thinning,CC-OST,38,,50.048067,-91.436462,LowerDominion38,Lower Dominion,5.19,9.75,0.47
Chronosequence,L38-20170705-F-3M,L38,7,s7,3,M,2017,Fire,Thinning,CC-OST,38,,50.048067,-91.436462,LowerDominion38,Lower Dominion,5.19,9.75,0.47
Chronosequence,L38-20170705-F-1F,L38,7,s7,1,O,2017,Fire,Thinning,CC-OST,38,,50.048067,-91.436462,LowerDominion38,Lower Dominion,4.72,483.51,14.85
Chronosequence,L38-20170705-F-2F,L38,7,s7,2,O,2017,Fire,Thinning,CC-OST,38,,50.048067,-91.436462,LowerDominion38,Lower Dominion,4.72,483.51,14.85
Chronosequence,L38-20170705-F-3F,L38,7,s7,3,O,2017,Fire,Thinning,CC-OST,38,,50.048067,-91.436462,LowerDominion38,Lower Dominion,4.72,483.51,14.85
Chronosequence,CL37-20170705-F-1L,CL37,8,s8,1,B,2017,Fire,Thinning,CC-OST,37,,49.969626,-91.064493,CobbLake37,Cobb Lake,5.24,503.01,9.26
Chronosequence,CL37-20170705-F-2L,CL37,8,s8,2,B,2017,Fire,Thinning,CC-OST,37,,49.969626,-91.064493,CobbLake37,Cobb Lake,5.24,503.01,9.26
Chronosequence,CL37-20170705-F-3L,CL37,8,s8,3,B,2017,Fire,Thinning,CC-OST,37,,49.969626,-91.064493,CobbLake37,Cobb Lake,5.24,503.01,9.26
Chronosequence,CL37-20170705-F-1M,CL37,8,s8,1,M,2017,Fire,Thinning,CC-OST,37,,49.969626,-91.064493,CobbLake37,Cobb Lake,5.93,9.66,0.37
Chronosequence,CL37-20170705-F-2M,CL37,8,s8,2,M,2017,Fire,Thinning,CC-OST,37,,49.969626,-91.064493,CobbLake37,Cobb Lake,5.93,9.66,0.37
Chronosequence,CL37-20170705-F-3M,CL37,8,s8,3,M,2017,Fire,Thinning,CC-OST,37,,49.969626,-91.064493,CobbLake37,Cobb Lake,5.93,9.66,0.37
Chronosequence,CL37-20170705-F-1F,CL37,8,s8,1,O,2017,Fire,Thinning,CC-OST,37,,49.969626,-91.064493,CobbLake37,Cobb Lake,4.52,497.89,11.68
Chronosequence,CL37-20170705-F-2F,CL37,8,s8,2,O,2017,Fire,Thinning,CC-OST,37,,49.969626,-91.064493,CobbLake37,Cobb Lake,4.52,497.89,11.68
Chronosequence,CL37-20170705-F-3F,CL37,8,s8,3,O,2017,Fire,Thinning,CC-OST,37,,49.969626,-91.064493,CobbLake37,Cobb Lake,4.52,497.89,11.68
Chronosequence,CB37-20170705-F-1L,CB37,9,s9,1,B,2017,Fire,Thinning,CC-OST,37,,50.010473,-91.01767,CobbBay37,Cobb Bay,4.54,496.64,8.22
Chronosequence,CB37-20170705-F-2L,CB37,9,s9,2,B,2017,Fire,Thinning,CC-OST,37,,50.010473,-91.01767,CobbBay37,Cobb Bay,4.54,496.64,8.22
Chronosequence,CB37-20170705-F-3L,CB37,9,s9,3,B,2017,Fire,Thinning,CC-OST,37,,50.010473,-91.01767,CobbBay37,Cobb Bay,4.54,496.64,8.22
Chronosequence,CB37-20170705-F-1M,CB37,9,s9,1,M,2017,Fire,Thinning,CC-OST,37,,50.010473,-91.01767,CobbBay37,Cobb Bay,5.42,9.23,0.34
Chronosequence,CB37-20170705-F-2M,CB37,9,s9,2,M,2017,Fire,Thinning,CC-OST,37,,50.010473,-91.01767,CobbBay37,Cobb Bay,5.42,9.23,0.34
Chronosequence,CB37-20170705-F-3M,CB37,9,s9,3,M,2017,Fire,Thinning,CC-OST,37,,50.010473,-91.01767,CobbBay37,Cobb Bay,5.42,9.23,0.34
Chronosequence,CB37-20170705-F-1F,CB37,9,s9,1,O,2017,Fire,Thinning,CC-OST,37,,50.010473,-91.01767,CobbBay37,Cobb Bay,4.62,476.86,12.67
Chronosequence,CB37-20170705-F-2F,CB37,9,s9,2,O,2017,Fire,Thinning,CC-OST,37,,50.010473,-91.01767,CobbBay37,Cobb Bay,4.62,476.86,12.67
Chronosequence,CB37-20170705-F-3F,CB37,9,s9,3,O,2017,Fire,Thinning,CC-OST,37,,50.010473,-91.01767,CobbBay37,Cobb Bay,4.62,476.86,12.67
Chronosequence,E90-20170705-F-1L,E90,10,s10,1,B,2017,Fire,Mature,M,90,,49.858677,-91.3784,Elipse90,Elipse 90,4.85,475,9.02
Chronosequence,E90-20170705-F-2L,E90,10,s10,2,B,2017,Fire,Mature,M,90,,49.858677,-91.3784,Elipse90,Elipse 90,4.85,475,9.02
Chronosequence,E90-20170705-F-3L,E90,10,s10,3,B,2017,Fire,Mature,M,90,,49.858677,-91.3784,Elipse90,Elipse 90,4.85,475,9.02
Chronosequence,E90-20170705-F-1M,E90,10,s10,1,M,2017,Fire,Mature,M,90,,49.858677,-91.3784,Elipse90,Elipse 90,5.42,6.99,0.32
Chronosequence,E90-20170705-F-2M,E90,10,s10,2,M,2017,Fire,Mature,M,90,,49.858677,-91.3784,Elipse90,Elipse 90,5.42,6.99,0.32
Chronosequence,E90-20170705-F-3M,E90,10,s10,3,M,2017,Fire,Mature,M,90,,49.858677,-91.3784,Elipse90,Elipse 90,5.42,6.99,0.32
Chronosequence,E90-20170705-F-1F,E90,10,s10,1,O,2017,Fire,Mature,M,90,,49.858677,-91.3784,Elipse90,Elipse 90,4.73,486.92,13.14
Chronosequence,E90-20170705-F-2F,E90,10,s10,2,O,2017,Fire,Mature,M,90,,49.858677,-91.3784,Elipse90,Elipse 90,4.73,486.92,13.14
Chronosequence,E90-20170705-F-3F,E90,10,s10,3,O,2017,Fire,Mature,M,90,,49.858677,-91.3784,Elipse90,Elipse 90,4.73,486.92,13.14
Chronosequence,SDS-20170705-F-1L,SDS,11,s11,1,B,2017,Fire,Mature,M,85,,49.786787,-91.179047,SilverDollar,Silver Dollar,5.11,507.69,9.52
Chronosequence,SDS-20170705-F-2L,SDS,11,s11,2,B,2017,Fire,Mature,M,85,,49.786787,-91.179047,SilverDollar,Silver Dollar,5.11,507.69,9.52
Chronosequence,SDS-20170705-F-3L,SDS,11,s11,3,B,2017,Fire,Mature,M,85,,49.786787,-91.179047,SilverDollar,Silver Dollar,5.11,507.69,9.52
Chronosequence,SDS-20170705-F-1M,SDS,11,s11,1,M,2017,Fire,Mature,M,85,,49.786787,-91.179047,SilverDollar,Silver Dollar,5.06,10.96,0.41
Chronosequence,SDS-20170705-F-2M,SDS,11,s11,2,M,2017,Fire,Mature,M,85,,49.786787,-91.179047,SilverDollar,Silver Dollar,5.06,10.96,0.41
Chronosequence,SDS-20170705-F-3M,SDS,11,s11,3,M,2017,Fire,Mature,M,85,,49.786787,-91.179047,SilverDollar,Silver Dollar,5.06,10.96,0.41
Chronosequence,SDS-20170705-F-1F,SDS,11,s11,1,O,2017,Fire,Mature,M,85,,49.786787,-91.179047,SilverDollar,Silver Dollar,4.3,463.22,11.85
